Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
An operations team at a company is implementing a robust governance framework to monitor and optimize the costs associated with their Snowflake Cortex LLM function usage. They need to identify which functions are driving the highest token consumption and overall credit usage to pinpoint areas for cost reduction. Which of the following monitoring tools or methods are appropriate for gaining these insights into Cortex LLM function costs and token consumption? (select all that apply),multi-select,"Querying the SNOWFLAKE.ACCOUNT_USAGE.CORTEX_FUNCTIONS_QUERY_USAGE_HISTORY view to obtain granular token usage details, including prompt_tokens and completion_tokens, for individual Cortex LLM function calls.",,Inspecting the SNOWFLAKE.ORGANIZATION_USAGE.METERING_DAILY_HISTORY view with a SERVICE_TYPE filter of 'AI_SERVICES' to get an aggregated daily credit consumption across all AI services within the organization.,,Analyzing the CORTEX_DOCUMENT_PROCESSING_USAGE_HISTORY view to track hourly pages processed and credits used by SNOWFLAKE.CORTEX.COMPLETE functions for multimodal image inputs.,,"Reviewing the guard_tokens field within the usage object returned by COMPLETE function calls when Cortex Guard is enabled, to understand the overhead of safety filtering.",,"Consulting the CORTEX_SEARCH_DAILY_USAGE_HISTORY view to monitor the EMBED_TEXT_TOKENS cost per input token, which applies to embedding LLM functions such as SNOWFLAKE.CORTEX.EMBED_TEXT_1024.",,,,"1,2,4",,
"A financial analytics team is using SNOWFLAKE.CORTEX.COMPLETE to extract specific financial metrics (e.g., revenue, profit margin) from quarterly reports and requires the output in a strict JSON format for automated ingestion into a data warehouse. They've encountered issues where the LLM sometimes generates malformed JSON or includes extraneous text. Which of the following approaches will help ensure deterministic, schema-compliant JSON outputs and mitigate these 'hallucinations' related to format? (Select four)",multi-select,"Utilise the response_format argument within COMPLETE to specify a detailed JSON schema, including type, properties, and required fields.",,"For OpenAI (GPT) models, ensure that the additionalProperties field is set to false in every node of the schema and that the required field lists all properties.",,"Include a prompt instruction such as 'Respond in JSON' to improve adherence, especially for complex tasks, even when response_format is provided.",,Set the 'temperature' option to 0 when calling COMPLETE to obtain the most consistent and deterministic JSON outputs.,,"Use the SNOWFLAKE.CORTEX.CLASSIFY_TEXT function to validate the JSON structure after generation, then re-prompt if validation fails.",,,,"1,2,3,4",,
"A security-conscious data scientist in an Azure East US 2 (Virginia) account wants to fine-tune a mistral-7b model for a specific text summarization task and then deploy it for real-time inference using the Cortex REST API. The mistral-7b base model is natively available for fine-tuning in Azure East US 2 (Virginia). For subsequent inference using the fine-tuned model, they need to understand the regional and cross-region inference considerations. Which of the following statements are correct? (Select four)",multi-select,The fine-tuning job for mistral-7b can proceed in Azure East US 2 (Virginia) as it is a supported region for the FINETUNE ('CREATE') function.,,"To use the fine-tuned mistral-7b model for inference via the Cortex REST API in a region where the base mistral-7b model is not natively supported, the CORTEX_ENABLED_CROSS_REGION account parameter must be configured.",,User inputs and outputs for inference requests to the fine-tuned model via cross-region inference will be stored or cached within the remote processing region to optimize performance.,,"The cost for inference on the fine-tuned mistral-7b model will be based on the number of tokens processed for both prompt and completion, with an additional charge for Cortex Guard tokens if enabled.",,"Snowflake Copilot, another Gen AI feature, also supports cross-region inference and its availability can be controlled by the CORTEX_ENABLED_CROSS_REGION parameter.",,,,"1,2,4,5",,
"An operations team is investigating an issue with a generative AI application powered by Snowflake Cortex Analyst, where users reported unexpected behavior in generated SQL. To diagnose the problem, they examine the detailed event logs captured by Snowflake AI Observability. Which categories of information can they expect to find in these event tables to assist their investigation? (Select four)",multi-select,The full text of the natural language questions submitted by the users.,,The exact SQL queries that Cortex Analyst generated in response to user questions.,,Any error messages or warnings that occurred during the processing of the request.,,The complete request and response bodies associated with the application's execution steps.,,Real-time CPU and memory usage statistics for the Snowflake virtual warehouse executing the LLM inference.,,,,"1,2,3,4",,
A data scientist is implementing a Retrieval Augmented Generation (RAG) system in Snowflake for a legal document repository. They need to convert legal document chunks into vector embeddings and efficiently find the most relevant document chunks based on a user's query. Which of the following statements accurately describe the process and best practices for creating and using these vector embeddings with Snowflake Cortex LLM functions? (select two),multi-select,"To create the embeddings for legal document chunks, the SNOWFLAKE.CORTEX.EMBED_TEXT_768 function should be used, specifying an appropriate model like 'snowflake-arctic-embed-m'.",,"When comparing a user's query embedding with document embeddings, the VECTOR_L1_DISTANCE function is generally recommended over VECTOR_COSINE_SIMILARITY for RAG applications to ensure optimal semantic relevance.",,"For best search results in RAG, legal document text should be split into chunks of no more than 512 tokens, as smaller chunks typically lead to higher retrieval quality.",,"Embedding functions like EMBED_TEXT_768 and EMBED_TEXT_1024 incur compute costs based on both input and output tokens, similar to how AI_COMPLETE is billed.",,"The VECTOR data type in Snowflake only supports integer elements, meaning legal document embeddings must be converted to integer vectors before storage.",,,,"1,4",,
"A multinational corporation is implementing Document AI to automate the processing of purchase orders from various global suppliers. These purchase orders vary significantly in layout and are often submitted in English, German, and Spanish. The data engineering team aims to optimize the preparation phase for effective model training and deployment. Considering Document AI's 'Question optimization best practices' and general document preparation guidelines, which of the following is a 'critical consideration' for successful implementation?",multiple-choice,"For multilingual support, it is mandatory to externally translate all non-English purchase orders to English before uploading them to an internal stage, as Document AI only processes English text.",,"The training dataset should be highly diverse, representing various layouts, data variations (including potential NULLs), and containing documents in all target languages (English, German, Spanish) to ensure robust model performance.",,"To simplify prompt engineering, define generic questions such as 'What is the total amount?' irrespective of document layout, as Document AI's foundation model is expected to handle most layout variations through its zero-shot capabilities.",,"For maximum efficiency in defining data values for complex extractions (e.g., lists of line items), prioritize spending extensive time on crafting highly precise and detailed natural language prompts to guide the model.",,"Document AI model builds can only support a single document layout type; therefore, separate model builds must be created for each distinct purchase order layout from different suppliers.",,,,2,,
An AI development team is deploying a new Cortex Agent and needs to ensure optimal performance and adherence to Snowflake's Gen AI principles regarding data governance. Which of the following statements accurately reflect the models supported by Cortex Agents and the data governance considerations? (select three),multi-select,"Cortex Agents exclusively use proprietary Snowflake models, such as Snowflake Arctic, ensuring all data remains within Snowflake's governance boundary without exception.",,"Supported LLMs for orchestration by Cortex Agents include llama3.1-70b, mistral-large2, and claude-3-5-sonnet. Cross-region inference may be required if the model is not available in the local region.",,"Customer Data, including inputs and outputs from Cortex Agents, is not used to train or fine-tune models made available to others, and fine-tuned models built with customer data are exclusively for that customer's use.",,"Cortex Agents support all models available through the AI_COMPLETE function, including those that require explicit opt-in for Azure OpenAI GPT models, with data always staying within Snowflake's governance boundary.",,"To use Cortex Agents, a role must be granted the SNOWFLAKE.CORTEX_AGENT_USER database role, which provides access specifically to the Agents feature.",,,,"2,3,5",,
"A financial services company is developing an automated data pipeline in Snowflake to process Federal Reserve Meeting Minutes, which are initially loaded as PDF documents. The pipeline needs to extract specific entities like the FED's stance on interest rates ('hawkish', 'dovish', or 'neutral') and the reasoning behind it, storing these as structured JSON objects within a Snowflake table. The goal is to ensure the output is always a valid JSON object with predefined keys. Which AI_COMPLETE configuration, used within an in-line SQL statement in a task, is most effective for achieving this structured extraction directly in the pipeline?",multiple-choice,"Using a simple prompt like ""Extract FED stance on interest rates and the reasoning as JSON from the document: [document_text]"" and expecting the LLM to format it correctly without further configuration.",,"Setting the temperature parameter to 0 and max_tokens to a sufficiently large value, along with a prompt to output JSON, to inherently guide the LLM to a structured format.",,"Employing the response_format argument within AI_COMPLETE with a JSON schema that explicitly defines the stance (enum: [""hawkish"", ""dovish"", ""neutral""]) and reasoning (string) fields, ensuring strict adherence to the output structure.",,"Utilizing multiple calls to SNOWFLAKE.CORTEX.EXTRACT_ANSWER() or AI_EXTRACT(), one for the stance and another for the reasoning, then manually constructing the JSON in a subsequent SQL step.",,"Relying on default AI_COMPLETE behavior, as Snowflake Cortex automatically detects the need for JSON output when entity extraction with specific fields is implied by the prompt.",,,,3,,
"A business analyst is using a Cortex Analyst-powered conversational application to query structured data in Snowflake. They initially ask, 'What was the total profit from California last quarter?' and then follow up with, 'What about New York?' The application successfully provides accurate answers to both questions. Which of the following statements explain how Cortex Analyst supports this multi-turn conversational experience and maintains accuracy? (Select three)",multi-select,"Cortex Analyst stores the full, verbatim history of all previous user prompts and LLM responses, which are then passed to every subsequent LLM call to ensure complete context retention without any summarization.",,"To handle follow-up questions, Cortex Analyst leverages an internal LLM summarization agent (e.g., Llama 3.1 70B) to reframe the current-turn question by retrieving context from the conversation history, rather than simply passing the entire history.",,"The accuracy of the SQL generated by Cortex Analyst for follow-up questions is significantly enhanced by its integration with a Verified Query Repository (VQR), which stores pre-verified natural language questions and their corresponding SQL queries.",,"For multi-turn conversations, Cortex Analyst primarily relies on semantic search over sample values defined in the semantic model to infer context and generate SQL, making explicit conversation history management unnecessary.",,"The semantic model YAML file, which defines logical tables, dimensions, and measures, is crucial for Cortex Analyst to bridge the gap between business terminology and underlying technical schema, thereby improving text-to-SQL conversion accuracy for both initial and follow-up queries.",,,,"2,3,5",,
"A Data Scientist has a pre-trained PyCaret model and wants to log it into the Snowflake Model Registry for inference. The model requires specific versions of 'pycaret' and 'scipy', and a configuration file 'my_config.json' needs to be packaged with the model for use during inference. Assuming 'sp_session' is an active Snowpark Session, 'my_pycaret_model' is an instance of 'PyCaretModel', and 'train_features' is a Pandas DataFrame for sample data, which of the following code snippets correctly logs this custom PyCaret model into the Snowflake Model Registry?",multiple-choice,"from snowflake.ml.registry import Registry; from snowflake.ml.model import custom_model; reg = Registry(session=sp_session, database_name=""ML"", schema_name=""REGISTRY""); mv = reg.log_model(my_pycaret_model, model_name=""my_custom_pycaret_model"", version_name=""v1"", pip_requirements=[""pycaret==3.0.2"", ""scipy==1.11.4""], sample_input_data=train_features)",,"from snowflake.ml.registry import Registry; from snowflake.ml.model import custom_model; reg = Registry(session=sp_session, database_name=""ML"", schema_name=""REGISTRY""); mv = reg.log_model(my_pycaret_model, model_name=""my_custom_pycaret_model"", version_name=""v1"", conda_dependencies=[""pycaret"", ""scipy""], model_context=custom_model.ModelContext(config_file=""my_config.json""), sample_input_data=train_features)",,"from snowflake.ml.registry import Registry; reg = Registry(session=sp_session, database_name=""ML"", schema_name=""REGISTRY""); mv = reg.log_model(my_pycaret_model, model_name=""my_custom_pycaret_model"", version_name=""v1"", pip_requirements=[""pycaret==3.0.2"", ""scipy==1.11.4""], sample_input_data=train_features)",,"from snowflake.ml.registry import Registry; reg = Registry(session=sp_session, database_name=""ML"", schema_name=""REGISTRY""); mv = reg.log_model(my_pycaret_model, model_name=""my_custom_pycaret_model"", version_name=""v1"", conda_dependencies=[""pycaret"", ""scipy""], user_files={""config"": [""/path/to/my_config.json""]}, ao_options={""target_platforms"": ""WAREHOUSE""})",,"from snowflake.ml.registry import Registry; reg = Registry(session=sp_session, database_name=""ML"", schema_name=""REGISTRY""); mv = reg.log_model(model_object=my_pycaret_model, model_name=""my_custom_pycaret_model"", version_name=""v1"", pip_packages=[""pycaret==3.0.2"", ""scipy==1.11.4""], config_files={""my_config.json"": ""/path/to/my_config.json""}, input_data=train_features)",,,,4,,
"A data engineer is building a Snowflake data pipeline to ingest customer reviews from a raw staging table into a processed table. For each review, they need to determine the overall sentiment (positive, neutral, negative) and store this as a distinct column. The pipeline is implemented using SQL with streams and tasks to process new data. Which Snowflake Cortex LLM function, when integrated into the SQL task, is best suited for this sentiment classification and ensures a structured, single-label output for each review?",multiple-choice,"Use SNOWFLAKE.CORTEX.SENTIMENT() to get a numerical score, then apply a separate SQL CASE statement or UDF for classification into 'positive', 'neutral', 'negative'.",,"Use SNOWFLAKE.CORTEX.CLASSIFY_TEXT() with the input text and a list of categories like ['positive', 'negative', 'neutral'] to directly obtain the classification label.",,"Use AI_COMPLETE() with a prompt such as 'Classify the sentiment of this review: [review_text] into positive, neutral, or negative.' and configure the response_format to be a string.",,Use SNOWFLAKE.CORTEX.EXTRACT_ANSWER() asking the question 'What is the sentiment of this review?' to get a descriptive answer that then needs parsing.,,"Use multiple AI_FILTER() calls, one for each sentiment category (e.g., AI_FILTER(prompt('Is this review positive?'))), and combine the boolean results.",,,,2,,
"A data analyst is working with a table containing customer feedback text and needs to perform various text analysis tasks efficiently within Snowflake. They want to summarize the reviews, determine their sentiment, and extract specific pieces of information. Which of the following Snowflake Cortex LLM functions, when applied to a text column, will achieve the desired outcome and return the specified output type?",multi-select,"To get a concise overview of each review, the analyst should use SNOWFLAKE.CORTEX.SUMMARIZE() which returns a string containing a brief summary.",,"To determine the overall sentiment of each review, the analyst should use SNOWFLAKE.CORTEX.SENTIMENT() which returns a numerical score representing the sentiment.",,"To extract a specific answer to a question from each review, the analyst can use SNOWFLAKE.CORTEX.EXTRACT_ANSWER(review_text, 'What is the main issue?') which returns a string containing the extracted information.",,"To categorize reviews into predefined labels, the analyst should use SNOWFLAKE.CORTEX.CLASSIFY_TEXT(review_text, ['positive', 'negative']) which returns a string containing the selected category label.",,The AI_AGG (text truncated in source),,,,"1,2,3,4",,
"A Snowflake developer, named ANALYST_USER, is tasked with creating a Streamlit in Snowflake (SiS) application that will utilize both SNOWFLAKE.CORTEX.COMPLETE for generating responses and SNOWFLAKE.CORTEX.CLASSIFY_TEXT for categorizing user input. To ensure the role used by ANALYST_USER has the necessary permissions for executing these Cortex LLM functions and operating within a specified database and schema, which of the following database roles or privileges must be granted? (Select all that apply.)",multi-select,"The SNOWFLAKE.CORTEX_USER database role, which grants privileges to call Snowflake Cortex AI functions.",,The CREATE SNOWFLAKE.ML.DOCUMENT_INTELLIGENCE privilege on the schema where Document AI models are created.,,The AI_OBSERVABILITY_EVENTS_LOOKUP application role for monitoring purposes.,,The USAGE privilege on the database and schema where the Streamlit application runs and potentially stores related data.,,The EXECUTE TASK global privilege on the account.,,,,"1,4",,
"A data science team is using SNOWFLAKE.CORTEX.CLASSIFY_TEXT to categorize product reviews into detailed segments like 'Bug Report – Critical', 'Feature Request – UI/UX', 'General Praise', or 'Query – Billing Issue'. For highly nuanced reviews, they find the initial classifications lack precision, and they are also concerned about the associated compute costs for processing large volumes of data. Which strategies should they employ to optimize classification accuracy and manage costs effectively with this function? (Select two)",multi-select,"To improve accuracy for ambiguous classifications, they should augment the list_of_categories with explicit description and examples for each category, understanding that these additions will increase input token costs for each record processed.",,"For complex scenarios where the relationship between review text and categories is not straightforward, including a concise task_description (e.g., 'Classify the product review focusing on technical support relevance') in the options argument is recommended to guide the model.",,"To reduce input token costs for classifications, the input text should be pre-processed to remove common stop words and punctuation, as these characters are counted as billable tokens without contributing to classification accuracy.",,"If classifying thousands of reviews, they can significantly reduce overall compute costs by setting the temperature option to 0.0 within CLASSIFY_TEXT to ensure deterministic and cheaper inference.",,"CLASSIFY_TEXT labels, descriptions, and examples are counted as input tokens only once per function call, regardless of the number of records processed in a batch, to optimize cost efficiency.",,,,"1,2",,
"A development team is implementing a document retrieval system in Snowflake. They plan to store document embeddings and use VECTOR_L2_DISTANCE to find the most relevant documents for a given query embedding. Considering Snowflake's capabilities, which of the following statements are true regarding the use of vector types and VECTOR_L2_DISTANCE? (Select all that apply)",multi-select,"Document embeddings, which are typically float arrays, can be stored in a VECTOR data type column in Snowflake.",,"When defining a table column for 1024-dimensional float embeddings, the SQL type specification should be VECTOR(FLOAT, 1024).",,"Using the Snowpark Python library, developers can directly invoke vector_l2_distance as a method on a Column object to use it in a DataFrame transformation.",,VECTOR_L2_DISTANCE is a SQL function that takes two VECTOR arguments and returns a FLOAT representing their Euclidean distance.,,"To prevent issues with direct vector comparisons, explicitly using VECTOR_L2_SQUARED_DISTANCE is recommended as it is computationally more efficient and avoids the square root calculation.",,,,"1,2,4,5",,
A data analytics team is building a self-service analytics application using Snowflake Cortex Analyst to allow business users to query sales data with natural language. They are defining a semantic model in YAML to ensure accurate text-to-SQL generation. Which of the following is the most crucial aspect of the semantic model's configuration for Cortex Analyst to effectively translate natural language into SQL for structured data?,multiple-choice,"Specifying a dedicated 'CORTEX_SEARCH_SERVICE' for every dimension to pre-compute all possible literal values, optimizing response time.",,Defining a comprehensive 'verified_queries' section with a high volume of example natural language questions and their exact SQL translations to handle all potential user queries.,,"Providing detailed 'name', 'description', and 'synonyms' for logical tables, dimensions, and facts to bridge the gap between business terminology and the underlying database schema.",,"Configuring the 'base_table' parameter to directly reference a dynamic table, ensuring real-time data ingestion and processing before SQL generation.",,Utilizing advanced data types like 'VARIANT' and 'OBJECT' for all dimensions to accommodate semi-structured data without complex transformations.,,,,3,,
"A team is developing a Retrieval Augmented Generation (RAG) pipeline in Snowflake, where document chunks are embedded using Cortex AI functions and then retrieved using VECTOR_COSINE_SIMILARITY. They are planning their infrastructure and cost management strategy. Which of the following statements correctly describes the cost and performance characteristics of these operations in Snowflake? (Select all that apply)",multi-select,Both embedding functions and VECTOR_COSINE_SIMILARITY incur costs based on tokens processed.,,Using a dedicated virtual warehouse of size MEDIUM or smaller is recommended for optimal performance of Cortex AI functions like VECTOR_COSINE_SIMILARITY.,,"If VECTOR_COSINE_SIMILARITY is used with cross-region inference, additional data transfer costs will be incurred for the function call.",,"VECTOR_COSINE_SIMILARITY operations are billed per input token, similar to LLM completion functions.",,"Embedding functions incur token-based costs, while vector similarity functions do not.",,,,"2,5",,
A global marketing team uses Snowflake to manage customer feedback in various languages. They need to translate customer reviews from German ('de') into English ('en') for analysis. The reviews are stored in a table named CUSTOMER_REVIEWS in a column called REVIEW_TEXT. Which of the following SQL statements correctly applies the SNOWFLAKE.CORTEX.TRANSLATE function and what is the expected return type for the translated text?,multiple-choice,"SELECT SNOWFLAKE.CORTEX.TRANSLATE(review_text, 'de', 'high_accuracy') FROM CUSTOMER_REVIEWS;",,"SELECT SNOWFLAKE.CORTEX.TRANSLATE(review_text, 'de', 'en') FROM CUSTOMER_REVIEWS;",,"SELECT TRANSLATE(review_text, 'en') FROM CUSTOMER_REVIEWS;",,"SELECT SNOWFLAKE.CORTEX.TRANSLATE(review_text, 'English') FROM CUSTOMER_REVIEWS;",,"SELECT SNOWFLAKE.CORTEX.TRANSLATE(REVIEW_TEXT, 'en') FROM CUSTOMER_REVIEWS;",,,,2,,
"A Snowflake account administrator in an Azure East US 2 region needs to enable users to access a new, highly capable LLM, 'claude-3-5-sonnet', which is currently only natively available in AWS regions via Snowflake Cortex. The administrator also wants to ensure that only specific, approved LLMs can be used across the organization. Which configuration steps are necessary for the administrator to achieve these requirements?",multiple-choice,"Set the CORTEX_MODELS_ALLOWLIST account parameter to include 'claude-3-5-sonnet', and then set the CORTEX_ENABLE_CROSS_REGION account parameter to 'TRUE' to allow cross-region inference for all Cortex features.",,"Grant the SNOWFLAKE.CORTEX_USER database role to the relevant user roles. Set the CORTEX_ENABLED_CROSS_REGION account parameter to 'ANY_REGION' or a list including an AWS region where 'claude-3-5-sonnet' is natively available. Additionally, configure the CORTEX_MODELS_ALLOWLIST to explicitly permit 'claude-3-5-sonnet' and other desired models.",,"Since 'claude-3-5-sonnet' is an OpenAI model, the administrator must enable the ENABLE_CORTEX_ANALYST_MODEL_AZURE_OPENAI account parameter, and then the model will automatically be available for cross-region inference without further action.",,"Create a COMPUTE POOL with a GPU_NV_S instance family in Azure East US 2, and then deploy a custom PyCaret model of 'claude-3-5-sonnet' to this pool through the Snowflake Model Registry.",,"The CORTEX_ENABLED_CROSS_REGION parameter allows access to models in other regions, but access to specific LLMs is controlled solely by individual user privileges granted directly on the model objects, not by an account-level allowlist.",,,,2,,
"A data engineer is setting up an automated pipeline to process incoming documents using Snowflake's AI_PARSE_DOCUMENT function. To ensure the pipeline functions without errors, which of the following input requirements or limitations must be strictly adhered to? (select all that apply)",multi-select,"All documents must be stored in an internal or external stage, but only internal stages support server-side encryption with the SNOWFLAKE_SSE type.",,"The maximum file size for any document processed by AI_PARSE_DOCUMENT is 100 MB, and it can handle up to 300 pages per document.",,"Supported file formats for processing include PDF, PPTX, DOCX, JPEG, JPG, PNG, TIFF, TIF, HTML, and TXT, covering a wide range of common document and image types.",,"For HTML and TXT files, billing for AI_PARSE_DOCUMENT is based on each chunk of 3,000 characters, with the last chunk also being billed even if partial.",,"To optimize performance, queries calling the Cortex AI_PARSE_DOCUMENT function should be executed in a large warehouse (e.g., XL or larger), as bigger warehouses increase processing speed for this function.",,,,"2,3,4",,
"A Streamlit application developer wants to use AI_COMPLETE (the latest version of COMPLETE (SNOWFLAKE.CORTEX)) to process customer feedback. The goal is to extract structured information, such as the customer's sentiment, product mentioned, and any specific issues, into a predictable JSON format for immediate database ingestion. Which configuration of the AI_COMPLETE function call is essential for achieving this structured output requirement?",multiple-choice,"Including detailed instructions within the prompt string, such as 'Extract sentiment, product, and issues as a JSON object: {""sentiment"": ""..."", ""product"": ""..."", ""issues"": ""...""}'.",,"Setting the temperature option to 0 and max_tokens to a high value, which implicitly guides the LLM to produce structured output.",,"Utilizing the response_format argument with a JSON schema object that precisely defines the expected structure, data types, and required fields for the output.",,"Using the AI_EXTRACT function multiple times, once for each piece of information (sentiment, product, issues) to be extracted, and then manually combining the results into a JSON object.",,Enabling the guardrails option with a custom validation rule to ensure the LLM's raw text output conforms to a JSON pattern.,,,,3,,
"A financial data team is implementing a Snowflake Cortex AI solution to summarize regulatory documents using SNOWFLAKE.CORTEX.TRY_COMPLETE. They aim for both cost efficiency and high reliability, especially when dealing with documents that might occasionally exceed model context limits or result in malformed output. Which of the following statements about the cost and operational behavior of TRY_COMPLETE are TRUE in this context? (Select all that apply)",multi-select,"If a call to TRY_COMPLETE fails and returns NULL, the input and output tokens associated with that specific failed operation are not counted for billing purposes.",,Successful calls to TRY_COMPLETE for summarization will incur compute costs based on both the input prompt's tokens and the generated summary's tokens.,,"To manage conversation state in a multi-turn interaction, TRY_COMPLETE automatically retains the context of previous user prompts and model responses across successive calls.",,The TRY_COMPLETE function is available only in a limited set of Snowflake regions and cannot leverage cross-region inference to access models in other regions.,,"When using TRY_COMPLETE with the response_format option to enforce JSON output, complex schemas can lead to a higher number of input and output tokens being consumed for successful calls.",,,,"2,5",,
"A marketing analyst wants to quickly gauge the overall sentiment of customer feedback stored in a Snowflake table called CUSTOMER_FEEDBACK, which has a column FEEDBACK_TEXT. They decide to use the SNOWFLAKE.CORTEX.SENTIMENT function to process a review. Consider the following SQL query for a specific review: SELECT SNOWFLAKE.CORTEX.SENTIMENT('This product is absolutely amazing and exceeded all my expectations') AS sentiment_score; Which of the following correctly describes the expected output format and interpretation of the sentiment_score for the given input?",multiple-choice,"The output will be a string like 'Positive' or 'Negative', and a score close to 1 indicates strong positive sentiment.",,"The output will be a floating-point number between -1 and 1 (inclusive), where a value of 1 indicates strong positive sentiment and -1 indicates strong negative sentiment.",,"The output will be a JSON object containing a 'label' field, and values around 0 indicate a neutral sentiment.",,"The output will be a boolean value (TRUE/FALSE) indicating if the sentiment is positive, and 0.5 represents a neutral sentiment.",,"The output will be an integer between 0 and 100, where higher numbers denote more positive sentiment.",,,,2,,
"An ACCOUNTADMIN has configured the CORTEX_MODELS_ALLOWLIST parameter to allow only the mistral-large2 model. A developer, whose role has been granted SNOWFLAKE.CORTEX_USER and the specific application role SNOWFLAKE.CORTEX_MODEL_ROLE_LLAMA3.1-70B, subsequently accesses the Cortex LLM Playground. Which models would be available for selection and successful inference by this user within the Playground?",multi-select,The mistral-large2 model.,,"The LLAMA3.1-70B model, when explicitly referenced as SNOWFLAKE.MODELS.LLAMA3_1_70B in an AI_COMPLETE call initiated through the Playground's interface.",,The snowflake-arctic model.,,"All models supported by COMPLETE that are available in the account's region, as the Playground offers full model exploration.",,Only models specified directly in the CORTEX_MODELS_ALLOWLIST are ever visible or usable in the Playground.,,,,"1,5",,
"A data engineering team is implementing a solution using Snowflake Cortex's AI_COMPLETE function to process customer support tickets. They are concerned about sensitive information and ensuring the model's responses are safe, while adhering to Snowflake's data governance principles. Which of the following statements correctly describe the functionality of Cortex Guard and Snowflake's data privacy commitments in this context?",multiple-choice,"Cortex Guard evaluates prompts before they reach the LLM, and customer data used as input for AI_COMPLETE is anonymized and used to improve general model performance across all Snowflake customers.",,"When guardrails are set to TRUE in AI_COMPLETE options, Cortex Guard evaluates the LLM's responses, filtering potentially unsafe content, and only input tokens consumed by Cortex Guard are billed, in addition to the LLM's compute costs.",,"Snowflake's privacy principles state that input data to AI_COMPLETE with guardrails is used to fine-tune a specialized, customer-owned guardrail model, which can be deployed to improve safety for that customer's specific use cases.",,"Cortex Guard requires a separate CORTEX_GUARD_ADMIN role for configuration, and it logs all filtered content to a customer-accessible audit table within Snowflake for manual review.",,Customer Data (inputs and outputs) for AI_COMPLETE with Cortex Guard enabled are guaranteed not to be available to other customers or used to train models made available to others.,,,,5,,
An ML Engineer has developed a custom PyTorch model for GPU-powered inference and successfully built an OCI-compliant image locally. They now need to push this image to a Snowflake image repository and configure a Snowpark Container Service to use it. The Snowflake account identifier is my_org_name-my_account_id-prod. Which set of commands correctly demonstrates tagging the local image and pushing it to the repository? (Select all that apply),multi-select,Tag command: docker tag my_pytorch_model:latest my_org_name-my_account_id-prod.registry.snowflakecomputing.com/my_db/my_schema/my_repo/pytorch_model:latest,,Push command: docker push my_org_name-my_account_id-prod.registry.snowflakecomputing.com/my_db/my_schema/my_repo/pytorch_model:latest,,Service specification YAML snippet for image: spec: containers: - name: pytorch_inference image: my_org_name-my_account_id-prod.registry.snowflakecomputing.com/my_db/my_schema/my_repo/pytorch_model:latest,,Verification command: CALL SYSTEM$REGISTRY_LIST_IMAGES('my_db.my_schema.my_repo');,,"The correct way to refer to the image in the service specification is via its direct registry path, prefixed with snowflake-registry:// scheme.",,,,"1,2,4,5",,
